Company Code,MPD_AUG_2021,MPD_JUL_2021,MPD_JUN_2021,MPD_MAY_2021,MPD_APR_2021,MPD_MAR_2021,MPD_FEB_2021,MPD_JAN_2021,Average_Payment_Days,"('total_counts', '0')","('total_counts', '1-30')","('total_counts', '31-60')","('total_counts', '61-90')","('total_counts', '90+')",Risk
1001,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,4,28,0,14,59,56,39,0,0,0
1001,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0
1001,0,0,0,0,0,4,0,0,0,57,0,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,1,43,4,4,0,0,0
6001,0,0,0,0,0,0,0,0,1,14,2,0,0,0,0
6010,0,0,0,0,0,0,0,0,21,3,1,4,3,2,1
1001,0,0,0,0,0,21,53,0,11,24,13,20,4,0,1
3008,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,17,13,13,11,0,0,0
3008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,4,9,2,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,31,7,1,0,0,0
3008,0,0,0,0,0,0,0,0,18,19,4,1,8,0,1
3008,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,46,8,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,1,51,12,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,8,14,1,4,0,0,0
3008,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0
3008,0,0,0,0,0,0,0,0,14,9,9,3,0,0,0
3008,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
1001,0,0,0,0,0,1,0,0,0,42,1,0,0,0,0
3008,0,0,0,0,0,0,0,0,16,25,12,5,0,0,0
3008,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,36,14,0,0,0,0
5052,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
7006,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
5052,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5052,0,0,0,0,0,0,0,0,0,59,5,0,0,0,0
5052,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
5052,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5052,0,0,0,0,0,0,3,0,0,63,1,0,0,0,0
